Date,Description,Amount
2023-08-01,Walmart Supercenter,-150.75
2023-08-02,Netflix,-12.99
2023-08-03,Amazon Purchase,-45.2
2023-08-04,Salary Deposit,3000.0
2023-08-05,Starbucks Coffee,-5.85
2023-08-06,Shell Gas,-40.1
2023-08-07,Rent Payment,-900.0
2023-08-10,Chipotle Mexican Grill,-18.5
2023-08-12,Uber Ride,-22.75
2023-09-01,Whole Foods Market,-200.0
2023-09-03,Spotify Subscription,-9.99
2023-09-04,Doctor Appointment,-120.0
2023-09-05,Salary Deposit,3000.0
2023-09-07,Target Store,-80.25
2023-09-09,Electric Bill,-95.5
2023-10-02,Hulu Subscription,-7.99
2023-10-03,Amazon Purchase,-60.35
2023-10-05,Water Utility,-30.75
2023-10-06,Uber Ride,-18.0
2023-10-10,Salary Deposit,3000.0
2023-11-02,Netflix,-13.99
2023-11-03,Mall Shopping,-250.0
2023-11-07,Shell Gas,-35.0
2023-11-08,Hospital Bill,-250.0
2023-11-10,Salary Deposit,3000.0
2024-01-02,Phone Bill,-80.0
2024-01-03,Rent Payment,-920.0
2024-01-05,Uber Ride,-25.0
2024-01-10,Salary Deposit,3200.0
2024-02-03,Amazon Purchase,-75.0
2024-02-05,Doctor Appointment,-130.0
2024-02-10,Rent Payment,-920.0
2024-02-10,Salary Deposit,3200.0
